"subjectID" "sire" "dam" "sex" "generation" "phenotype" "genetic_origin" "batch"
"222" 283 17 77 "M" 2 -1.582205 0 3
"223" 284 17 26 "F" 2 0.991778 0 3
"224" 285 17 40 "F" 2 1.126258 0 3
"225" 286 200 28 "F" 2 0.69417 0 3
"226" 287 200 86 "M" 2 1.623885 0 3
"227" 288 200 50 "F" 2 -0.968788 0 3
"228" 289 200 78 "M" 2 -0.459223 0 3
"229" 290 9 71 "F" 2 -0.591032 0 3
"230" 291 9 85 "M" 2 -0.30537 0 3
"231" 292 9 81 "F" 2 -0.164278 0 3
"232" 293 9 54 "M" 2 0.15215 0 3
"233" 294 19 37 "F" 2 -0.324733 0 3
"234" 295 19 25 "F" 2 0.551953 0 3
"235" 296 19 63 "F" 2 -0.314356 0 3
"236" 297 19 65 "M" 2 0.309122 0 3
"237" 298 11 89 "M" 2 -2.778875 0 3
"238" 299 11 62 "M" 2 -0.004253 0 3
"239" 300 11 55 "M" 2 -0.202101 0 3
"240" 301 11 99 "F" 2 1.451587 0 3
"241" 302 12 91 "F" 2 -0.61695 0 3
"242" 303 12 79 "F" 2 0.24948 0 3
"243" 304 12 60 "F" 2 1.121821 0 3
"244" 305 12 48 "F" 2 1.257723 0 3
"245" 306 1 100 "F" 2 -0.829826 0 3
"246" 307 1 46 "F" 2 1.089144 0 3
"247" 308 1 36 "M" 2 -0.446555 0 3
"248" 309 1 64 "F" 2 -0.593964 0 3
"249" 310 5 67 "F" 2 -0.903369 0 3
"250" 311 5 35 "M" 2 -0.522999 0 3
"251" 312 5 29 "F" 2 0.711943 0 3
"252" 313 5 74 "M" 2 -0.801348 0 3
"253" 314 15 98 "F" 2 -0.064694 0 3
"254" 315 15 21 "F" 2 -0.582231 0 3
"255" 316 15 27 "M" 2 0.515332 0 3
"256" 317 15 22 "F" 2 -0.202752 0 3
"257" 318 10 75 "F" 2 1.167159 0 3
"258" 319 10 38 "F" 2 0.590968 0 3
"259" 320 10 23 "M" 2 0.094219 0 3
"260" 321 10 24 "M" 2 1.927331 0 3
"261" 322 163 72 "M" 3 2.198193 0 3
"262" 323 163 57 "M" 3 1.126487 0 3
"263" 324 163 42 "M" 3 0.604411 0 3
"264" 325 163 70 "F" 3 0.631127 0 3
"265" 326 264 266 "M" 3 0.840989 0 3
"266" 327 264 204 "F" 3 0.382821 0 3
"267" 328 264 44 "F" 3 -0.010862 0 3
"268" 329 264 61 "M" 3 2.765024 0 3
"269" 330 248 47 "F" 3 0.54562 0 3
"270" 331 248 301 "F" 3 0.479762 0 3
"271" 332 248 249 "F" 3 -0.075126 0 3
"272" 333 248 191 "M" 3 1.494097 0 3
"273" 334 276 282 "M" 3 -0.34197 0 3
"274" 335 276 76 "F" 3 0.060459 0 3
"275" 336 276 257 "F" 3 -0.555465 0 3
"276" 337 276 213 "F" 3 1.654445 0 3
"277" 338 321 245 "M" 3 1.268474 0 3
"278" 339 321 305 "M" 3 0.822328 0 3
"279" 340 321 96 "M" 3 0.245411 0 3
"280" 341 321 210 "F" 3 0.448325 0 3
"281" 342 256 235 "F" 3 2.312321 0 3
"282" 343 256 250 "F" 3 1.488809 0 3
"283" 344 256 318 "F" 3 0.908058 0 3
"284" 345 256 176 "F" 3 1.431381 0 3
"285" 346 279 255 "M" 3 -0.645053 0 3
"286" 347 279 285 "M" 3 1.503055 0 3
"287" 348 279 304 "F" 3 3.273136 0 3
"288" 349 279 162 "M" 3 2.005678 0 3
"289" 350 287 84 "M" 3 1.892084 0 4
"290" 351 287 307 "M" 3 2.337228 0 4
"291" 352 287 82 "M" 3 2.094918 0 4
"292" 353 287 58 "F" 3 0.548426 0 4
"293" 354 167 219 "F" 3 0.152436 0 4
